timestep,infecteds,susceptibles,trial ,R0
1,1,25,1,2
2,2,23,1,2
3,1,22,1,2
4,2,20,1,2
5,4,16,1,2
6,2,14,1,2
7,0,14,1,2
8,0,14,1,2
9,0,14,1,2
10,0,14,1,2
1,1,25,2,2
2,2,23,2,2
3,4,19,2,2
4,5,14,2,2
5,7,7,2,2
6,5,2,2,2
7,1,1,2,2
8,0,1,2,2
9,0,1,2,2
10,0,1,2,2
1,1,25,3,2
2,2,23,3,2
3,4,19,3,2
4,7,12,3,2
5,4,8,3,2
6,2,6,3,2
7,1,5,3,2
8,0,5,3,2
9,0,5,3,2
10,0,5,3,2
1,1,25,4,2
2,2,23,4,2
3,4,19,4,2
4,5,14,4,2
5,2,12,4,2
6,1,11,4,2
7,2,9,4,2
8,1,8,4,2
9,0,8,4,2
10,0,8,4,2
1,1,25,5,2
2,2,23,5,2
3,4,19,5,2
4,6,13,5,2
5,7,6,5,2
6,1,5,5,2
7,1,4,5,2
8,1,3,5,2
9,0,3,5,2
10,0,3,5,2
1,1,25,6,2
2,2,23,6,2
3,4,19,6,2
4,7,12,6,2
5,7,5,6,2
6,2,3,6,2
7,0,3,6,2
8,0,3,6,2
9,0,3,6,2
10,0,3,6,2
1,1,25,7,2
2,2,23,7,2
3,3,20,7,2
4,5,15,7,2
5,4,11,7,2
6,2,9,7,2
7,2,7,7,2
8,0,7,7,2
9,0,7,7,2
10,0,7,7,2
1,1,25,8,2
2,2,23,8,2
3,4,19,8,2
4,5,14,8,2
5,3,11,8,2
6,0,11,8,2
7,0,11,8,2
8,0,11,8,2
9,0,11,8,2
10,0,11,8,2
1,1,25,9,2
2,2,23,9,2
3,3,20,9,2
4,6,14,9,2
5,6,8,9,2
6,7,1,9,2
7,1,0,9,2
8,0,0,9,2
9,0,0,9,2
10,0,0,9,2
1,1,25,10,2
2,2,23,10,2
3,4,19,10,2
4,5,14,10,2
5,6,8,10,2
6,5,3,10,2
7,2,1,10,2
8,0,1,10,2
9,0,1,10,2
10,0,1,10,2
1,1,25,11,2
2,2,23,11,2
3,4,19,11,2
4,7,12,11,2
5,6,6,11,2
6,3,3,11,2
7,0,3,11,2
8,0,3,11,2
9,0,3,11,2
10,0,3,11,2
1,1,25,12,2
2,2,23,12,2
3,4,19,12,2
4,7,12,12,2
5,5,7,12,2
6,3,4,12,2
7,0,4,12,2
8,0,4,12,2
9,0,4,12,2
10,0,4,12,2
1,1,25,13,2
2,2,23,13,2
3,4,19,13,2
4,7,12,13,2
5,6,6,13,2
6,4,2,13,2
7,1,1,13,2
8,0,1,13,2
9,0,1,13,2
10,0,1,13,2
1,1,25,14,2
2,2,23,14,2
3,4,19,14,2
4,6,13,14,2
5,6,7,14,2
6,5,2,14,2
7,2,0,14,2
8,0,0,14,2
9,0,0,14,2
10,0,0,14,2
1,1,25,15,2
2,2,23,15,2
3,4,19,15,2
4,6,13,15,2
5,7,6,15,2
6,4,2,15,2
7,0,2,15,2
8,0,2,15,2
9,0,2,15,2
10,0,2,15,2
1,1,25,16,2
2,2,23,16,2
3,3,20,16,2
4,4,16,16,2
5,4,12,16,2
6,6,6,16,2
7,3,3,16,2
8,0,3,16,2
9,0,3,16,2
10,0,3,16,2
1,1,25,17,2
2,2,23,17,2
3,3,20,17,2
4,6,14,17,2
5,8,6,17,2
6,5,1,17,2
7,1,0,17,2
8,0,0,17,2
9,0,0,17,2
10,0,0,17,2
1,1,25,18,2
2,1,24,18,2
3,2,22,18,2
4,4,18,18,2
5,6,12,18,2
6,6,6,18,2
7,3,3,18,2
8,1,2,18,2
9,1,1,18,2
10,0,1,18,2
1,1,25,19,2
2,2,24,19,2
3,3,22,19,2
4,6,19,19,2
5,8,13,19,2
6,2,5,19,2
7,1,3,19,2
8,0,2,19,2
9,0,2,19,2
10,0,2,19,2
1,1,25,20,2
2,2,24,20,2
3,4,22,20,2
4,6,18,20,2
5,6,12,20,2
6,2,6,20,2
7,2,4,20,2
8,0,2,20,2
9,0,2,20,2
10,0,2,20,2
1,1,25,21,2
2,2,24,21,2
3,4,22,21,2
4,5,18,21,2
5,4,13,21,2
6,1,9,21,2
7,0,8,21,2
8,0,8,21,2
9,0,8,21,2
10,0,8,21,2
1,1,25,1,3
2,3,22,1,3
3,8,14,1,3
4,14,0,1,3
5,0,0,1,3
6,0,0,1,3
7,0,0,1,3
8,0,0,1,3
9,0,0,1,3
10,0,0,1,3
1,1,25,2,3
2,3,22,2,3
3,7,15,2,3
4,11,4,2,3
5,4,0,2,3
6,0,0,2,3
7,0,0,2,3
8,0,0,2,3
9,0,0,2,3
10,0,0,2,3
1,1,25,3,3
2,3,22,3,3
3,6,16,3,3
4,9,7,3,3
5,7,0,3,3
6,0,0,3,3
7,0,0,3,3
8,0,0,3,3
9,0,0,3,3
10,0,0,3,3
1,1,25,4,3
2,3,22,4,3
3,8,14,4,3
4,12,2,4,3
5,2,0,4,3
6,0,0,4,3
7,0,0,4,3
8,0,0,4,3
9,0,0,4,3
10,0,0,4,3
1,1,25,5,3
2,3,22,5,3
3,9,13,5,3
4,13,0,5,3
5,0,0,5,3
6,0,0,5,3
7,0,0,5,3
8,0,0,5,3
9,0,0,5,3
10,0,0,5,3
1,1,25,6,3
2,3,24,6,3
3,7,21,6,3
4,13,14,6,3
5,2,1,6,3
6,0,0,6,3
7,0,0,6,3
8,0,0,6,3
9,0,0,6,3
10,0,0,6,3
