Date,FS,NumG,Start,End,GPS,HBM,Activity,Support,Pheno,Numfrui,HTEm,CBH,numSdr,Obs,NumLF
9/6/18,Varecia_variegata,1,11:37,12:00,20,13,FFR,Hazondomoina,1,,15,74.4,NA,NA,
9/6/18,Varecia_variegata,1,12:41,12:45,21,15,FW,Varongy,NA,NA,NA,NA,NA,NA,
9/6/18,Varecia_variegata,1,12:57,13:00,23,15,FFR,Afopotsy,1,8,18,109.2,NA,NA,
9/6/18,Varecia_variegata,1,13:03,13:04,23,15,FFR,Afopotsy,1,6,18,109.2,NA,NA,
9/6/18,Varecia_variegata,1,13:08,13:18,24,8,FFR,Antavaratra,2,15,12,63.6,NA,NA,
9/6/18,Varecia_variegata,1,13:18,13:30,25,12,FW,Famelona,NA,NA,NA,NA,NA,NA,
9/6/18,Varecia_variegata,1,13:31,13:36,26,20,FFR,Afopotsy,2,,20,151.5,NA,NA,
9/6/18,Varecia_variegata,1,15:28,15:51,27,15,FFR,Afopotsy,4,47,18,80,NA,NA,
9/6/18,Varecia_variegata,1,15:52,15:54,27,15,FFR,Afopotsy,4,2,17,80,NA,NA,
9/6/18,Varecia_variegata,1,16:00,16:14,27,16,FFR,Afopotsy,4,34,18,80,NA,NA,
9/6/18,Varecia_variegata,1,16:15,16:24,27,NA,FFR,Afopotsy,4,13,NA,NA,NA,NA,
9/6/18,Varecia_variegata,1,16:24,16:47,28,19,FFR,Antavaratra,2,70,20,96.9,NA,NA,
9/7/18,Varecia_variegata,1,13:15,13:15,31,22,FL,Nanto_ravimboanjo,,NA,NA,NA,NA,Nihinana_raviny_1_dia_nalatsany,
9/7/18,Varecia_variegata,1,14:06,14:11,34,15,FFR,Afopotsy,4,9,18,74.5,NA,Mety_hoe_mbola_somasoma_ny_fruit_haniny,
9/7/18,Varecia_variegata,1,14:12,14:13,34,15,FFR,Afopotsy,4,2,18,74.5,NA,NA,
9/7/18,Varecia_variegata,1,14:16,15:07,34,16,FFR,Afopotsy,4,69,18,74.5,NA,NA,
9/7/18,Varecia_variegata,1,15:29,15:45,35,17,FFR,Afopotsy,1,24,19,103.1,NA,NA,
9/7/18,Varecia_variegata,1,15:47,15:50,35,18,FFR,Afopotsy,1,6,19,103.1,NA,NA,
9/7/18,Varecia_variegata,1,15:51,15:53,35,18,FFR,Afopotsy,1,4,19,103.1,NA,NA,
9/7/18,Varecia_variegata,1,15:55,15:58,35,16,FFR,Afopotsy,1,3,19,103.1,NA,NA,
9/7/18,Varecia_variegata,1,16:05,16:15,36,9,FW,Ampana,NA,NA,NA,NA,NA,NA,
9/8/18,Varecia_variegata,1,12:23,13:06,39,15,FFR,Afopotsy,4,64,18,74.6,NA,NA,NA
9/8/18,Varecia_variegata,1,13:10,13:15,40,10,FW,Tsivakombaratra,NA,NA,NA,NA,NA,NA,NA
9/8/18,Varecia_variegata,1,14:35,14:45,41,16,FFR,Antavaratra,1,21,19,70.1,NA,NA,NA
9/8/18,Varecia_variegata,1,16:15,16:30,42,15,FFR,Afopotsy,4,33,18,74.6,NA,NA,NA
9/10/18,Varecia_variegata,1,10:38,11:30,46,15,FFR,Afopotsy,3,82,18,74.6,NA,NA,NA
9/10/18,Varecia_variegata,1,13:38,14:19,48,15,FFR,Afopotsy,1,24,16,106.1,NA,NA,NA
9/11/18,Varecia_variegata,1,11:14,11:45,52,15,FFR,Afopotsy,2,34,18,74.6,NA,NA,NA
9/11/18,Varecia_variegata,1,13:45,14:15,52,16,FFR,Afopotsy,2,21,18,74.6,NA,NA,NA
9/11/18,Varecia_variegata,1,9:14,9:17,58,10,FW,Hazondomoina,NA,NA,NA,NA,NA,NA,NA
9/11/18,Varecia_variegata,1,9:23,9:28,59,16,FFR,Afopotsy,3,38,18,71,NA,NA,NA
9/11/18,Varecia_variegata,1,9:35,10:21,59,18,FFR,Afopotsy,4,84,20,115.3,NA,NA,NA
9/11/18,Varecia_variegata,1,11:23,11:24,59,19,FFR,Afopotsy,4,3,20,115.3,NA,NA,NA
9/11/18,Varecia_variegata,1,11:25,11:43,59,18,FFR,Afopotsy,4,11,20,115.3,NA,NA,NA
9/11/18,Varecia_variegata,1,11:47,11:50,59,18,FFR,Afopotsy,4,8,20,115.3,NA,NA,NA
9/11/18,Varecia_variegata,1,12:02,12:18,59,19,FFR,Afopotsy,4,17,20,115.3,NA,NA,NA
9/11/18,Varecia_variegata,1,12:19,12:30,59,13,FFR,Afopotsy,2,11,16,71,NA,NA,NA
9/11/18,Varecia_variegata,1,12:31,12:45,60,14,FW,Tavolo,NA,NA,NA,NA,NA,NA,NA
9/11/18,Varecia_variegata,1,14:39,15:30,61,18,FFR,Afopotsy,4,64,20,100.1,NA,NA,NA
9/11/18,Varecia_variegata,1,15:51,16:00,61,18,FFR,Afopotsy,4,31,20,100.1,NA,NA,NA
9/11/18,Varecia_variegata,1,16:18,16:45,63,10,FYL,Tavolo,NA,NA,NA,NA,NA,NA,49
9/13/18,Varecia_variegata,1,8:45,8:51,65,22,FFR,Afopotsy,3,14,22,150,NA,NA,NA
9/13/18,Varecia_variegata,1,11:35,11:49,67,12,FFR,Afopotsy,2,21,30,88,NA,NA,NA
9/13/18,Varecia_variegata,1,11:49,11:53,68,18,FW,Tavolo,NA,NA,NA,NA,NA,NA,NA
9/13/18,Varecia_variegata,1,12:10,12:15,69,15,FFR,Afopotsy,2,26,16,71,NA,NA,NA
9/13/18,Varecia_variegata,1,12:15,12:45,69,14,FFR,Afopotsy,2,48,16,71,NA,NA,NA
