,sample_name,plate,sampleID,flag_A,flag_B
248,KEL240A_whole_blood,3,KEL240A,1,0
256,KEL246A_whole_blood,3,KEL246A,1,0
268,KEL255A_whole_blood,3,KEL255A,1,0
269,KEL256A_whole_blood,3,KEL256A,1,0
271,KEL260A_whole_blood,3,KEL260A,1,0
272,KEL262A_whole_blood,3,KEL262A,1,0
273,KEL263A_whole_blood,3,KEL263A,1,0
274,KEL264A_whole_blood,3,KEL264A,1,0
276,KEL265A_whole_blood,4,KEL265A,1,0
281,KEL267A_whole_blood,4,KEL267A,1,0
285,KEL268A_whole_blood,4,KEL268A,1,0
288,KEL269A_whole_blood,4,KEL269A,1,0
291,KEL270A_whole_blood,4,KEL270A,1,0
298,KEL273A_whole_blood,4,KEL273A,1,0
300,KEL274A_whole_blood,4,KEL274A,1,0
301,KEL274A_whole_blood,4,KEL274A,1,0
304,KEL275A_whole_blood,3,KEL275A,1,0
317,KEL280A_whole_blood,3,KEL280A,1,0
324,KEL283A_whole_blood,3,KEL283A,1,0
327,KEL284A_whole_blood,3,KEL284A,1,0
335,KEL287A_whole_blood,3,KEL287A,1,0
337,KEL288A_whole_blood,3,KEL288A,1,0
340,KEL289A_whole_blood,3,KEL289A,1,0
353,KEL294A_whole_blood,3,KEL294A,1,0
225,KEL221B_whole_blood,4,KEL221B,0,1
252,KEL242B_whole_blood,4,KEL242B,0,1
295,KEL272B_urine,2,KEL272B,0,1
305,KEL275B_urine,2,KEL275B,0,1
310,KEL278B_urine,2,KEL278B,0,1
315,KEL279B_urine,2,KEL279B,0,1
318,KEL280B_urine-1,2,KEL280B,0,1
321,KEL281B_urine,2,KEL281B,0,1
325,KEL283B_urine,2,KEL283B,0,1
330,KEL285B_urine,2,KEL285B,0,1
332,KEL286B_urine,2,KEL286B,0,1
346,KEL291B_urine,2,KEL291B,0,1
367,KEL299B_urine,2,KEL299B,0,1
1,AMB106_urine,2,AMB106,0,0
2,AMB116_urine,2,AMB116,0,0
3,AMB122_urine,2,AMB122,0,0
4,AMB123_whole_blood,2,AMB123,0,0
5,AMB124_whole_blood,2,AMB124,0,0
6,AMB125_whole_blood,2,AMB125,0,0
7,AMB126_whole_blood,2,AMB126,0,0
8,AMB127_whole_blood,2,AMB127,0,0
9,AMB128_whole_blood,2,AMB128,0,0
10,AMB129_whole_blood,2,AMB129,0,0
11,AMB130_whole_blood,3,AMB130,0,0
12,AMB131_whole_blood,3,AMB131,0,0
13,AMB132_whole_blood,3,AMB132,0,0
14,AMB133_whole_blood,3,AMB133,0,0
15,AMB134_whole_blood,3,AMB134,0,0
16,AMB135_whole_blood,3,AMB135,0,0
17,AMB136_whole_blood,3,AMB136,0,0
18,AMB137_whole_blood,3,AMB137,0,0
19,AMB138_whole_blood,3,AMB138,0,0
20,AMB139_whole_blood,3,AMB139,0,0
21,AMB140_whole_blood,3,AMB140,0,0
22,AMB141_urine,2,AMB141,0,0
23,AMB141_whole_blood,3,AMB141,0,0
24,AMB142_whole_blood,3,AMB142,0,0
25,AMB143_whole_blood,3,AMB143,0,0
26,AMB144_whole_blood,3,AMB144,0,0
27,AMB145_whole_blood,3,AMB145,0,0
28,AMB146_whole_blood,3,AMB146,0,0
29,AMB147_whole_blood,3,AMB147,0,0
30,AMB148_whole_blood,3,AMB148,0,0
31,AMB149_whole_blood,3,AMB149,0,0
32,AMB15_urine,2,AMB15,0,0
33,AMB150_whole_blood,3,AMB150,0,0
34,AMB151_whole_blood,3,AMB151,0,0
35,AMB152_whole_blood,3,AMB152,0,0
36,AMB153_whole_blood,2,AMB153,0,0
37,AMB153_whole_blood,3,AMB153,0,0
38,AMB154_whole_blood,2,AMB154,0,0
39,AMB155_whole_blood,2,AMB155,0,0
40,AMB156_whole_blood,2,AMB156,0,0
41,AMB157_whole_blood,2,AMB157,0,0
42,AMB159_urine-1,2,AMB159,0,0
43,AMB159_whole_blood,2,AMB159,0,0
44,AMB160_urine,2,AMB160,0,0
45,AMB160_whole_blood,2,AMB160,0,0
46,AMB161_whole_blood,2,AMB161,0,0
47,AMB162_urine,2,AMB162,0,0
48,AMB162_whole_blood,2,AMB162,0,0
49,AMB165_urine,2,AMB165,0,0
50,AMB165_whole_blood,2,AMB165,0,0
51,AMB166_whole_blood,2,AMB166,0,0
52,AMB167_whole_blood,2,AMB167,0,0
53,AMB170_urine,2,AMB170,0,0
54,AMB171_urine,2,AMB171,0,0
55,AMB172_urine,2,AMB172,0,0
56,AMB173_urine,2,AMB173,0,0
57,AMB174_urine,2,AMB174,0,0
58,AMB61_urine,2,AMB61,0,0
59,AMB76_urine,2,AMB76,0,0
60,AMB8_urine,2,AMB8,0,0
61,AMB80_urine,2,AMB80,0,0
62,ANGB122_whole_blood,3,ANGB122,0,0
63,ANGB125_whole_blood,3,ANGB125,0,0
64,ANGB126_whole_blood,3,ANGB126,0,0
65,ANGB127_whole_blood,3,ANGB127,0,0
66,ANGB128_whole_blood,3,ANGB128,0,0
67,ANGB130_whole_blood,4,ANGB130,0,0
68,ANGB131_whole_blood,3,ANGB131,0,0
69,ANGB132_whole_blood,3,ANGB132,0,0
70,ANGB133_whole_blood,4,ANGB133,0,0
71,ANGB134_whole_blood,3,ANGB134,0,0
72,ANGB135_urine,2,ANGB135,0,0
73,ANGB135_whole_blood,3,ANGB135,0,0
74,ANGB136_whole_blood,3,ANGB136,0,0
75,ANGB136_whole_blood,4,ANGB136,0,0
76,ANGB137_urine,2,ANGB137,0,0
77,ANGB137_whole_blood,3,ANGB137,0,0
78,ANGB138_urine,2,ANGB138,0,0
79,ANGB138_whole_blood,3,ANGB138,0,0
80,ANGB139_whole_blood,3,ANGB139,0,0
81,ANGB140_whole_blood,3,ANGB140,0,0
82,ANGB141_urine,2,ANGB141,0,0
83,ANGB141_whole_blood,4,ANGB141,0,0
84,ANGB142_urine,2,ANGB142,0,0
85,ANGB142_whole_blood,3,ANGB142,0,0
86,ANGB144_whole_blood,3,ANGB144,0,0
87,ANGB145_whole_blood,3,ANGB145,0,0
88,ANGB145_whole_blood,4,ANGB145,0,0
89,ANGB146_whole_blood,4,ANGB146,0,0
90,ANGB147_whole_blood,4,ANGB147,0,0
91,ANGB148_whole_blood,3,ANGB148,0,0
92,ANGB149_whole_blood,3,ANGB149,0,0
93,ANGB150_whole_blood,3,ANGB150,0,0
94,ANGB151_whole_blood,3,ANGB151,0,0
95,ANGB153_whole_blood,3,ANGB153,0,0
96,ANGB154_whole_blood,3,ANGB154,0,0
97,ANGB155_urine,2,ANGB155,0,0
98,ANGB156_whole_blood,4,ANGB156,0,0
99,ANGB157_whole_blood,4,ANGB157,0,0
100,ANGB158_urine,2,ANGB158,0,0
101,ANGB158_whole_blood,4,ANGB158,0,0
102,ANGB159_whole_blood,4,ANGB159,0,0
103,ANGB160_whole_blood,4,ANGB160,0,0
104,ANGB161_whole_blood,4,ANGB161,0,0
105,ANGB162_whole_blood,3,ANGB162,0,0
106,ANGB162_whole_blood,4,ANGB162,0,0
107,ANGB163_whole_blood,4,ANGB163,0,0
108,ANGB261_urine,2,ANGB261,0,0
109,KEL?_whole_blood,4,KEL?,0,0
110,KEL140_urine,2,KEL140,0,0
111,KEL141_urine,2,KEL141,0,0
112,KEL148_whole_blood,4,KEL148,0,0
113,KEL149_urine,2,KEL149,0,0
114,KEL149_whole_blood,3,KEL149,0,0
115,KEL150_whole_blood,4,KEL150,0,0
116,KEL151_whole_blood,3,KEL151,0,0
117,KEL151_whole_blood,4,KEL151,0,0
118,KEL152_whole_blood,3,KEL152,0,0
119,KEL153_urine,2,KEL153,0,0
120,KEL153_whole_blood,4,KEL153,0,0
121,KEL153_whole_blood,4,KEL153,0,0
122,KEL154_urine,2,KEL154,0,0
123,KEL154_whole_blood,3,KEL154,0,0
124,KEL155_whole_blood,3,KEL155,0,0
125,KEL156_urine,2,KEL156,0,0
126,KEL156_whole_blood,3,KEL156,0,0
127,KEL157_urine,2,KEL157,0,0
128,KEL157_whole_blood,3,KEL157,0,0
129,KEL158_whole_blood,3,KEL158,0,0
130,KEL159_urine-1,2,KEL159,0,0
131,KEL160_whole_blood,3,KEL160,0,0
132,KEL161_urine,2,KEL161,0,0
133,KEL161_whole_blood,3,KEL161,0,0
134,KEL162_whole_blood,3,KEL162,0,0
135,KEL163_urine,2,KEL163,0,0
136,KEL164_urine,2,KEL164,0,0
137,KEL164_whole_blood,4,KEL164,0,0
138,KEL165_urine,2,KEL165,0,0
139,KEL165_whole_blood,4,KEL165,0,0
140,KEL166_urine,2,KEL166,0,0
141,KEL166_whole_blood,3,KEL166,0,0
142,KEL167_whole_blood,3,KEL167,0,0
143,KEL168_urine,2,KEL168,0,0
144,KEL169_urine,2,KEL169,0,0
145,KEL170_urine,2,KEL170,0,0
146,KEL170_whole_blood,3,KEL170,0,0
147,KEL171_urine,2,KEL171,0,0
148,KEL171_whole_blood,4,KEL171,0,0
149,KEL172_whole_blood,3,KEL172,0,0
150,KEL173_urine,2,KEL173,0,0
151,KEL173_whole_blood,4,KEL173,0,0
152,KEL174_whole_blood,3,KEL174,0,0
153,KEL175_whole_blood,4,KEL175,0,0
154,KEL176_whole_blood,3,KEL176,0,0
155,KEL177_urine,2,KEL177,0,0
156,KEL177_whole_blood,4,KEL177,0,0
157,KEL178_urine,2,KEL178,0,0
158,KEL178_whole_blood,4,KEL178,0,0
159,KEL179_whole_blood,4,KEL179,0,0
160,KEL180_whole_blood,3,KEL180,0,0
161,KEL181_whole_blood,3,KEL181,0,0
162,KEL182_urine,2,KEL182,0,0
163,KEL182_whole_blood,4,KEL182,0,0
164,KEL183_urine,2,KEL183,0,0
165,KEL183_whole_blood,4,KEL183,0,0
166,KEL184_urine,2,KEL184,0,0
167,KEL184_whole_blood,3,KEL184,0,0
168,KEL185_whole_blood,4,KEL185,0,0
169,KEL186_urine,2,KEL186,0,0
170,KEL186_whole_blood,4,KEL186,0,0
171,KEL187_urine,2,KEL187,0,0
172,KEL187_whole_blood,3,KEL187,0,0
173,KEL188_whole_blood,3,KEL188,0,0
174,KEL188_whole_blood,4,KEL188,0,0
175,KEL189_whole_blood,4,KEL189,0,0
176,KEL189_whole_blood,4,KEL189,0,0
177,KEL190_whole_blood,3,KEL190,0,0
178,KEL191_whole_blood,3,KEL191,0,0
179,KEL192_urine,2,KEL192,0,0
180,KEL192_whole_blood,3,KEL192,0,0
181,KEL193_urine,2,KEL193,0,0
182,KEL193_whole_blood,4,KEL193,0,0
183,KEL194_urine,2,KEL194,0,0
184,KEL194_whole_blood,4,KEL194,0,0
185,KEL195_whole_blood,4,KEL195,0,0
186,KEL196_urine,2,KEL196,0,0
187,KEL196_whole_blood,3,KEL196,0,0
188,KEL197_urine,2,KEL197,0,0
189,KEL197_whole_blood,4,KEL197,0,0
190,KEL199_whole_blood,3,KEL199,0,0
191,KEL200_urine,2,KEL200,0,0
192,KEL200_whole_blood,4,KEL200,0,0
193,KEL201_whole_blood,4,KEL201,0,0
194,KEL202_urine,2,KEL202,0,0
195,KEL202_whole_blood,3,KEL202,0,0
196,KEL202_whole_blood,4,KEL202,0,0
197,KEL203_whole_blood,3,KEL203,0,0
198,KEL203_whole_blood,4,KEL203,0,0
199,KEL204_urine,2,KEL204,0,0
200,KEL204_whole_blood,4,KEL204,0,0
201,KEL205_urine,2,KEL205,0,0
202,KEL206_urine,2,KEL206,0,0
203,KEL206_whole_blood,3,KEL206,0,0
204,KEL206_whole_blood,3,KEL206,0,0
205,KEL207_whole_blood,4,KEL207,0,0
206,KEL208_urine,2,KEL208,0,0
207,KEL209_urine,2,KEL209,0,0
208,KEL209_whole_blood,4,KEL209,0,0
209,KEL210_urine,2,KEL210,0,0
210,KEL210_whole_blood,4,KEL210,0,0
211,KEL211_urine,2,KEL211,0,0
212,KEL211_whole_blood,4,KEL211,0,0
213,KEL212_urine,2,KEL212,0,0
214,KEL213_whole_blood,3,KEL213,0,0
215,KEL214_whole_blood,4,KEL214,0,0
216,KEL215_whole_blood,3,KEL215,0,0
217,KEL216_urine,2,KEL216,0,0
218,KEL216_whole_blood,3,KEL216,0,0
219,KEL218_whole_blood,3,KEL218,0,0
220,KEL219_whole_blood,3,KEL219,0,0
221,KEL219_whole_blood,4,KEL219,0,0
222,KEL220_urine,2,KEL220,0,0
223,KEL220_whole_blood,3,KEL220,0,0
224,KEL220_whole_blood,4,KEL220,0,0
226,KEL223_urine,2,KEL223,0,0
227,KEL223_whole_blood,3,KEL223,0,0
228,KEL225_whole_blood,4,KEL225,0,0
229,KEL226_urine,2,KEL226,0,0
230,KEL227_urine,2,KEL227,0,0
231,KEL227_whole_blood,4,KEL227,0,0
232,KEL228_urine,2,KEL228,0,0
233,KEL228_whole_blood,4,KEL228,0,0
234,KEL229_whole_blood,4,KEL229,0,0
235,KEL230_urine,2,KEL230,0,0
236,KEL230_whole_blood,4,KEL230,0,0
237,KEL232_urine,2,KEL232,0,0
238,KEL232_whole_blood,3,KEL232,0,0
239,KEL233_whole_blood,3,KEL233,0,0
240,KEL234_urine-1,2,KEL234,0,0
241,KEL234_whole_blood,3,KEL234,0,0
242,KEL235_urine,2,KEL235,0,0
243,KEL235_whole_blood,4,KEL235,0,0
244,KEL236_urine,2,KEL236,0,0
245,KEL237_whole_blood,3,KEL237,0,0
246,KEL239_whole_blood,4,KEL239,0,0
247,KEL240_whole_blood,4,KEL240,0,0
249,KEL241_whole_blood,4,KEL241,0,0
250,KEL242_urine,2,KEL242,0,0
251,KEL242_whole_blood,4,KEL242,0,0
253,KEL243_whole_blood,4,KEL243,0,0
254,KEL243_whole_blood,4,KEL243,0,0
255,KEL245_urine,2,KEL245,0,0
257,KEL247_urine,2,KEL247,0,0
258,KEL247_whole_blood,3,KEL247,0,0
259,KEL248_urine,2,KEL248,0,0
