Id,Sex,Forearm,Weight,Age,Date,Pos,Pos2,Pos3,Para2,Para1,Para3
fb_1,f,68,46.55,220,1/11/15,0,0,0,0,0,0
fb_2,f,65.12,39.59,62,1/12/15,1,0,0,0,38,0
fb_3,f,65.41,40.42,66,1/13/15,0,0,0,0,0,0
fb_4,f,66.08,42.23,67,1/14/15,0,0,0,0,0,0
fb_5,f,66.09,42.63,68,1/15/15,0,0,0,0,0,0
fb_6,f,66.32,43.67,68,1/16/15,0,0,0,0,0,0
fb_7,f,66.72,44.09,69,1/17/15,0,0,0,0,0,0
fb_8,f,66.88,44.16,72,1/18/15,0,0,0,0,0,0
fb_9,f,66.95,44.66,74,1/19/15,0,0,0,0,0,0
fb_10,f,67.16,45.06,75,1/20/15,0,0,0,0,0,0
fb_11,f,67.23,45.58,75,1/11/15,0,0,0,0,0,0
fb_12,f,67.33,45.81,75,1/12/15,0,0,0,0,0,0
fb_13,f,67.4,46.06,76,1/13/15,0,0,0,0,0,0
fb_14,f,67.43,46.25,76,1/14/15,0,0,0,0,0,0
fb_15,f,67.66,46.32,77,1/15/15,0,0,0,0,0,0
fb_16,f,67.9,46.51,78,1/16/15,1,0,0,0,21,0
fb_17,f,67.93,46.53,79,1/17/15,0,0,0,0,0,0
fb_18,f,67.98,46.6,80,1/18/15,0,0,0,0,0,0
fb_19,f,68.63,46.61,81,1/19/15,0,0,0,0,0,0
fb_20,f,68.76,44.61,82,1/20/15,0,0,0,0,0,0
fb_21,f,68.83,47.27,83,1/11/15,0,0,0,0,0,0
fb_22,f,68.88,48.22,83,1/12/15,0,0,0,0,0,0
fb_23,f,69.06,48.32,84,1/13/15,0,0,0,0,0,0
fb_24,f,69.29,48.53,84,1/14/15,0,0,0,0,0,0
fb_25,f,69.33,48.56,85,1/15/15,0,0,0,0,0,0
fb_26,f,69.37,48.7,85,1/16/15,0,0,0,0,0,0
fb_27,f,69.39,48.73,86,1/17/15,1,0,0,0,7,0
fb_28,f,69.55,48.82,86,1/18/15,0,0,0,0,0,0
fb_29,f,69.57,48.83,86,1/19/15,1,0,0,0,7,0
fb_30,f,69.58,48.84,86,1/20/15,0,0,0,0,0,0
fb_31,f,69.59,49.46,87,1/11/15,0,0,0,0,0,0
fb_32,f,69.62,50.05,87,1/12/15,0,0,0,0,0,0
fb_33,f,69.7,50.06,88,1/13/15,0,0,0,0,0,0
fb_34,f,70.21,50.34,89,1/14/15,0,0,0,0,0,0
fb_35,f,70.47,50.36,89,1/15/15,0,0,0,0,0,0
fb_36,f,70.51,50.57,89,1/16/15,0,0,0,0,0,0
fb_37,f,70.75,50.73,90,1/17/15,0,0,0,0,0,0
fb_38,f,71.21,50.79,101,1/18/15,0,0,0,0,0,0
