Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
GTR+G+I,31,14046.34188,13813.25058,-6875.552611,0.36891095,0.808270745,5.674348138,0.292157006,0.287259703,0.295373145,0.125210145,0.02,0.04,0.05,0.02,0.35,0,0.04,0.34,0,0.11,0,0
GTR+G,30,14054.04085,13828.46422,-6884.163976,n/a,0.284091156,5.81041545,0.292157006,0.287259703,0.295373145,0.125210145,0.02,0.04,0.05,0.02,0.35,0,0.04,0.34,0,0.11,0,0.01
TN93+G+I,28,14080.38434,13869.83792,-6906.859482,0.374433276,0.779996861,5.797559908,0.292157006,0.287259703,0.295373145,0.125210145,0.02,0.02,0.05,0.02,0.34,0.01,0.02,0.33,0.01,0.11,0.02,0.02
TN93+G,27,14086.62631,13883.59545,-6914.742352,n/a,0.268989907,6.018024806,0.292157006,0.287259703,0.295373145,0.125210145,0.02,0.02,0.05,0.02,0.35,0.01,0.02,0.34,0.01,0.11,0.02,0.02
HKY+G+I,27,14131.86002,13928.82915,-6937.359204,0.396220276,0.91149564,4.523759604,0.292157006,0.287259703,0.295373145,0.125210145,0.03,0.03,0.1,0.03,0.24,0.01,0.03,0.24,0.01,0.24,0.03,0.03
HKY+G,26,14137.70513,13942.19011,-6945.043641,n/a,0.284200414,4.582592293,0.292157006,0.287259703,0.295373145,0.125210145,0.03,0.03,0.1,0.03,0.24,0.01,0.03,0.24,0.01,0.24,0.03,0.03
GTR+I,30,14160.32533,13934.74869,-6937.306215,0.488055412,n/a,3.667021383,0.292157006,0.287259703,0.295373145,0.125210145,0.04,0.05,0.06,0.04,0.29,0,0.05,0.29,0,0.15,0.01,0.01
TN93+I,27,14200.02847,13996.99761,-6971.443432,0.490525681,n/a,3.557000577,0.292157006,0.287259703,0.295373145,0.125210145,0.03,0.03,0.06,0.03,0.28,0.01,0.03,0.27,0.01,0.15,0.03,0.03
HKY+I,26,14249.62563,14054.11062,-7001.003895,0.496134516,n/a,2.526821119,0.292157006,0.287259703,0.295373145,0.125210145,0.04,0.04,0.09,0.04,0.21,0.02,0.04,0.21,0.02,0.21,0.04,0.04
T92+G+I,25,14526.43956,14338.44068,-7144.172741,0.389521508,1.165823059,3.497810661,0.289708355,0.289708355,0.210291645,0.210291645,0.03,0.02,0.16,0.03,0.16,0.02,0.03,0.23,0.02,0.23,0.03,0.02
T92+G,24,14530.82108,14350.33863,-7151.125379,n/a,0.342807184,3.580640525,0.289708355,0.289708355,0.210291645,0.210291645,0.03,0.02,0.17,0.03,0.17,0.02,0.03,0.23,0.02,0.23,0.03,0.02
K2+G,23,14587.32979,14414.36408,-7184.141619,n/a,0.326965457,3.709665764,0.25,0.25,0.25,0.25,0.03,0.03,0.2,0.03,0.2,0.03,0.03,0.2,0.03,0.2,0.03,0.03
K2+G+I,24,14589.03496,14408.55251,-7180.232319,0.380600283,1.03588593,3.639469156,0.25,0.25,0.25,0.25,0.03,0.03,0.2,0.03,0.2,0.03,0.03,0.2,0.03,0.2,0.03,0.03
T92+I,24,14596.50097,14416.01852,-7183.965324,0.493255741,n/a,2.99019369,0.289708355,0.289708355,0.210291645,0.210291645,0.04,0.03,0.16,0.04,0.16,0.03,0.04,0.22,0.03,0.22,0.04,0.03
K2+I,23,14670.09742,14497.1317,-7225.525431,0.497355207,n/a,3.069630394,0.25,0.25,0.25,0.25,0.03,0.03,0.19,0.03,0.19,0.03,0.03,0.19,0.03,0.19,0.03,0.03
GTR,29,15043.02624,14824.96457,-7383.418554,n/a,n/a,2.603830208,0.292157006,0.287259703,0.295373145,0.125210145,0.04,0.08,0.06,0.04,0.27,0,0.08,0.26,0,0.14,0.01,0.01
TN93,26,15153.1413,14957.62628,-7452.761729,n/a,n/a,2.582181878,0.292157006,0.287259703,0.295373145,0.125210145,0.04,0.04,0.06,0.04,0.26,0.02,0.04,0.25,0.02,0.14,0.04,0.04
HKY,25,15208.11739,15020.11851,-7485.011652,n/a,n/a,2.546673021,0.292157006,0.287259703,0.295373145,0.125210145,0.04,0.04,0.09,0.04,0.21,0.02,0.04,0.21,0.02,0.21,0.04,0.04
T92,23,15453.26199,15280.29627,-7617.107718,n/a,n/a,2.504726727,0.289708355,0.289708355,0.210291645,0.210291645,0.04,0.03,0.15,0.04,0.15,0.03,0.04,0.21,0.03,0.21,0.04,0.03
JC+G+I,23,15473.60096,15300.63524,-7627.2772,0.418417388,1.935715165,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+G,22,15478.11418,15312.66548,-7634.295693,n/a,0.399269424,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+I,22,15514.44346,15348.99477,-7652.460336,0.491298514,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
K2,22,15552.40711,15386.95841,-7671.442159,n/a,n/a,2.508337594,0.25,0.25,0.25,0.25,0.04,0.04,0.18,0.04,0.18,0.04,0.04,0.18,0.04,0.18,0.04,0.04
JC,21,16320.51264,16162.58126,-8060.256806,n/a,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
